reference,name,description,local-plan,document-types,documentation-url,document-url,entry-date,start-date,end-date,notes
london-borough-of-barnet-local-plan-2021-6,North Finchley,,london-borough-of-barnet-local-plan-2021,supplementary-planning-document,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036,https://www.barnet.gov.uk/sites/default/files/the_north_finchley_town_centre_framework_spd_-_feb_2018.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-7,Colindale Station,,london-borough-of-barnet-local-plan-2021,supplementary-planning-document,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036,https://www.barnet.gov.uk/sites/default/files/colindale_station_spd_february_2019.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-8,Health Impact Assessment Guidance Note,,london-borough-of-barnet-local-plan-2021,health-impact-assessment,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036,https://barnet.moderngov.co.uk/documents/s88937/APPENDIX%20A%20-%20BARNET%20COUNCIL%20HEALTH%20IMPACT%20ASSESSMENT%20GUIDANCE%20NOTE.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-9,Edgware Growth Area SPD,,london-borough-of-barnet-local-plan-2021,supplementary-planning-document,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/edgware-growth-area,https://www.barnet.gov.uk/sites/default/files/edgware_spd.pdf,2026-01-30,2025-03-04,,
sandwell-metropolitan-borough-council-local-plan-2011-1,Black Country Core Strategy,,sandwell-metropolitan-borough-council-local-plan-2011,local-plan,https://www.sandwell.gov.uk/downloads/download/347/black-country-core-strategy,https://www.sandwell.gov.uk/downloads/file/771/black-country-core-strategy-main-document-,2026-01-30,2011-02-03,,
sandwell-metropolitan-borough-council-local-plan-2024-1,Sandwell Local Plan Issues and Options Main Document,,sandwell-metropolitan-borough-council-local-plan-2024,local-plan,https://www.sandwell.gov.uk/downloads/download/382/sandwell-local-plan-issues-and-options-consultation-documents,https://www.sandwell.gov.uk/downloads/file/895/sandwell-local-plan-issues-and-options-main-document,2026-01-30,,,
sandwell-metropolitan-borough-council-local-plan-2024-2,Sandwell Local Plan Issues and Options Habitat Regulations Assessment,,sandwell-metropolitan-borough-council-local-plan-2024,habitats-regulations-assessment,https://www.sandwell.gov.uk/downloads/download/382/sandwell-local-plan-issues-and-options-consultation-documents,https://www.sandwell.gov.uk/downloads/file/894/sandwell-local-plan-issues-and-options-habitat-regulations-assessment,2026-01-30,,,
sandwell-metropolitan-borough-council-local-plan-2024-3,Sandwell Local Plan Issues and Options Sustainability Appraisal,,sandwell-metropolitan-borough-council-local-plan-2024,sustainability-appraisal,https://www.sandwell.gov.uk/downloads/download/382/sandwell-local-plan-issues-and-options-consultation-documents,https://www.sandwell.gov.uk/downloads/file/893/sandwell-local-plan-issues-and-options-sustainability-appraisal,2026-01-30,,,
sandwell-metropolitan-borough-council-local-plan-2024-4,Sandwell Local Plan Issues and Options Sustainability Appraisal Scoping Report,,sandwell-metropolitan-borough-council-local-plan-2024,sustainability-appraisal,https://www.sandwell.gov.uk/downloads/download/382/sandwell-local-plan-issues-and-options-consultation-documents,https://www.sandwell.gov.uk/downloads/file/896/sandwell-local-plan-issues-and-options-sustainability-appraisal-scoping-report,2026-01-30,,,
south-staffordshire-council-local-plan-1,Publication Plan (Pre-submission) - 2024,,south-staffordshire-council-local-plan,local-plan-regulation-19,https://www.sstaffs.gov.uk/planning/planning-policy-and-local-plans/local-plan-review,,2026-01-30,,,
south-staffordshire-council-local-plan-2,Publication Plan (Pre-submission) - 2022,,south-staffordshire-council-local-plan,local-plan-regulation-19,https://www.sstaffs.gov.uk/planning/planning-policy-and-local-plans/local-plan-review,,2026-01-30,,,
south-staffordshire-council-local-plan-2006-1,Adopted South Staffordshire Local Plan,,south-staffordshire-council-local-plan-2006,local-plan,https://www.sstaffs.gov.uk/planning/planning-policy/adopted-south-staffordshire-local-plan,https://www.sstaffs.gov.uk/sites/default/files/2023-02/Core%20Strategy%20Dev%20Plan%20Doc.pdf,2026-01-30,2012-12-11,,
south-staffordshire-council-local-plan-3,Responses to Regulation 19 Consultations-2024,,south-staffordshire-council-local-plan,local-plan-regulation-19,https://www.sstaffs.gov.uk/local-plan-review-examination,,2026-01-30,,,
south-staffordshire-council-local-plan-4,Responses to Regulation 19 Consultations-2022,,south-staffordshire-council-local-plan,local-plan-regulation-19,https://www.sstaffs.gov.uk/local-plan-review-examination,,2026-01-30,,,
south-staffordshire-council-local-plan-5,Examination Library (Evidence Base),,south-staffordshire-council-local-plan,local-plan,https://www.sstaffs.gov.uk/local-plan-review-examination,,2026-01-30,,,
south-staffordshire-council-local-plan-6,Local Plan Review Evidence Base,,south-staffordshire-council-local-plan,local-plan-review,https://www.sstaffs.gov.uk/planning/planning-policy-and-local-plans/local-plan-review,,2026-01-30,,,
the-babergh-and-mid-suffolk-joint-local-plan-1,Babergh and Mid Suffolk Joint Local Plan Part 1 Nov 2023,,the-babergh-and-mid-suffolk-joint-local-plan,local-plan,https://www.midsuffolk.gov.uk/joint-local-plan,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-plan-part-1-nov-2023,2026-01-30,2023-11-01,,
the-babergh-and-mid-suffolk-joint-local-plan-2,K01 BMSDC JLP Final Report and Schedule,,the-babergh-and-mid-suffolk-joint-local-plan,inspectors-report,https://www.midsuffolk.gov.uk/joint-local-plan,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/k01-bmsdc-jlp-final-report-and-schedule,2026-01-30,2023-11-01,,
west-berkshire-council-local-plan-1,South East Plan Natural Resource Management Policy 6,,west-berkshire-council-local-plan,local-plan,https://www.westberks.gov.uk/current-development-plan,https://www.westberks.gov.uk/media/45126/South-East-Plan-Policy-NRM6/pdf/South_East_Plan_Policy_NRM6.pdf?m=1705655144750,2026-01-30,,,
west-berkshire-council-local-plan-2023-1,West Berkshire Local Plan Review 2023-2041,,west-berkshire-council-local-plan-2023,local-plan,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/64447/West-Berkshire-Local-Plan-Review-2023-2041/pdf/West_Berkshire_Local_Plan_Review_2023-2041_for_web_APPROVED.pdf?m=1756290556437,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-2,Policies Map,,west-berkshire-council-local-plan-2023,policies-map,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63649/Policies-Map/pdf/PolicyMapFinal_v8_1b9elbccj66ck.pdf?m=1759499028427,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-3,Inspector's Report inc Appendix,,west-berkshire-council-local-plan-2023,inspectors-report,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63647/Inspector-s-Report-inc-Appendix/pdf/Inspectors_Report_inc_Appendix.pdf?m=1749637079183,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-4,Local Plan Review Adoption Statement,,west-berkshire-council-local-plan-2023,adoption-statement,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63669/Local-Plan-Review-Adoption-Statement/pdf/LPR_Adoption_Statement.pdf?m=1749715226300,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-5,Schedule of Additional Modifications at 30 May 2025,,west-berkshire-council-local-plan-2023,local-plan,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63646/West-Berkshire-Local-Plan-Review-Schedule-of-Additional-Minor-Modifications-at-30-May-2025/pdf/Additional_minor_Modifications_as_at_30_May_2025.pdf?m=1756291881870,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-6,Schedule of Additional Modifications from 30 May 2025,,west-berkshire-council-local-plan-2023,local-plan,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/64448/West-Berkshire-Local-Plan-Review-Schedule-of-Additional-Minor-Modifications-from-30-May-2025/pdf/Schedule_of_Additional_Modifications_from_30_May_2025_for_sign_off_revised.pdf?m=1756721498413,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-7,Sustainability Appraisal / Strategic Environmental Assessment Report,,west-berkshire-council-local-plan-2023,sustainability-appraisal,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63650/SA-SEA-Report/pdf/SA_SEA_Report.pdf?m=1749637079807,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-8,Sustainability Appraisal Post Adoption Statement,,west-berkshire-council-local-plan-2023,adoption-statement,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63670/LPR-SA-Post-Adoption-Statement/pdf/SA_Post_Adoption_Statement.pdf?m=1749715257520,2026-01-30,2025-06-10,,
west-berkshire-council-local-plan-2023-9,Habitats Regulations Assessment: Addendum of Proposed Modifications,,west-berkshire-council-local-plan-2023,habitats-regulations-assessment,https://www.westberks.gov.uk/local-plan-review,https://www.westberks.gov.uk/media/63645/Addendum-to-HRA/pdf/Addendum_to_HRA.pdf?m=1749637078787,2026-01-30,2025-06-10,,
wirral-metropolitan-borough-council-local-plan-2022-1,Adopted Local Plan Written Statement,,wirral-metropolitan-borough-council-local-plan-2022,local-plan-adopted,https://www.wirral.gov.uk/newlocalplan,https://www.wirral.gov.uk/files/wirral-local-plan-2022-2040-written-statement.pdf/download?inline,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-10,Schedule of Additional Modifications,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan/wirral-local-plan-0,https://www.wirral.gov.uk/sites/default/files/2024-09/Schedule%20of%20Additional%20Modifications.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-11,Wirral Local Plan Tracked Change Version September 2024,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan/wirral-local-plan-0,https://www.wirral.gov.uk/sites/default/files/2024-09/Wirral%20Local%20Plan%20Tracked%20Change%20Version%20September%202024.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-12,Hoylake NW Map 1 of 4,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan-1,https://www.wirral.gov.uk/sites/default/files/2025-07/Hoylake%20NW%20Map%201%20of%204.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-13,Birkenhead NE Map 2 of 4,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan-1,https://www.wirral.gov.uk/sites/default/files/2025-07/Birkenhead%20NE%20Map%202%20of%204.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-14,Heswall SW Map 3 of 4,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan-1,https://www.wirral.gov.uk/sites/default/files/2025-07/Heswall%20SW%20Map%203%20of%204.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-15,Bebington SE Map 4 of 4,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan-1,https://www.wirral.gov.uk/sites/default/files/2025-07/Bebington%20SE%20Map%204%20of%204.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-16,"New Brighton, New Ferry and West Kirby Inset Maps",,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan-1,https://www.wirral.gov.uk/sites/default/files/2025-07/New%20Brighton%2C%20New%20Ferry%20and%20West%20Kirby%20Inset%20Maps.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-17,Birkenhead Inset Map,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan-1,https://www.wirral.gov.uk/sites/default/files/2025-07/Birkenhead%20Inset%20Map.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-2,Adoption Statement,,wirral-metropolitan-borough-council-local-plan-2022,adoption-statement,https://www.wirral.gov.uk/newlocalplan,https://www.wirral.gov.uk/sites/default/files/2025-04/Local%20Plan%20Adoption%20Statement.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-3,Wirral Local Plan - Inspectors Report,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/newlocalplan,https://www.wirral.gov.uk/sites/default/files/2025-03/Wirral%20Local%20Plan%20-%20Inspectors%20Report.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-4,Wirral Local Plan - Main Mods Appendix,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/newlocalplan,https://www.wirral.gov.uk/sites/default/files/2025-03/Wirral%20Local%20Plan%20-%20Main%20Mods%20Appendix.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-5,Wirral Local Plan Sustainability Appraisal Adoption Statement March 2025,,wirral-metropolitan-borough-council-local-plan-2022,strategic-environmental-assessment,https://www.wirral.gov.uk/newlocalplan,https://www.wirral.gov.uk/sites/default/files/2025-03/Wirral%20Local%20Plan%20Sustainability%20Appraisal%20Adoption%20Statement%20March%202025.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-6,Schedule of Main Modifications,,wirral-metropolitan-borough-council-local-plan-2022,main-modifications,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan/wirral-local-plan-0,https://www.wirral.gov.uk/sites/default/files/2024-09/Schedule%20of%20Main%20Modifications.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-7,Main Modifications Sustainability Appraisal September 2024,,wirral-metropolitan-borough-council-local-plan-2022,main-modifications,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan/wirral-local-plan-0,https://www.wirral.gov.uk/sites/default/files/2024-09/Main%20Modifications%20Sustainability%20Appraisal%20September%202024.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-8,Main Modifications Habitats Regulations Assessment,,wirral-metropolitan-borough-council-local-plan-2022,main-modifications,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan/wirral-local-plan-0,https://www.wirral.gov.uk/sites/default/files/2024-09/Main%20Modifications%20Habitats%20Regulations%20Assessment.pdf,2026-01-30,2025-03-31,,
wirral-metropolitan-borough-council-local-plan-2022-9,Wirral Local Plan Housing Trajectory 2022-2040,,wirral-metropolitan-borough-council-local-plan-2022,local-plan,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy/wirrals-development-plan/wirral-local-plan/wirral-local-plan-0,https://www.wirral.gov.uk/sites/default/files/2024-09/Wirral%20Local%20Plan%20Housing%20Trajectory%202022-2040.pdf,2026-01-30,2025-03-31,,
wokingham-borough-council-local-plan-2006-1,Wokingham Core Strategy,,wokingham-borough-council-local-plan-2006,local-plan,https://www.wokingham.gov.uk/planning-policy/adopted-development-plan/local-plans,https://www.wokingham.gov.uk/sites/wokingham/files/2023-06/Final%20adopted%20Core%20Strategy%20inc.%20cover.pdf,2026-01-30,2010-01-29,,
wokingham-borough-council-local-plan-2023-1,Local Development Scheme,,wokingham-borough-council-local-plan-2023,local-development-scheme,https://www.wokingham.gov.uk/planning-policy/emerging-local-plan-update,https://www.wokingham.gov.uk/sites/wokingham/files/2024-09/WBC%20Local%20Development%20Scheme%202024%20Final.pdf,2026-01-30,,,
